date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:42:24	247/247	---M--	200	added ('OK')	text/html		https://financialservices.gov.in/robots.txt		(from )
18:42:27	61755/61755	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202022%2013:12:01%20GMT	https://financialservices.gov.in/	C:/My%20Web%20Sites/s1/financialservices.gov.in/index.html	(from )
18:42:27	3638/3638	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2005%20May%202015%2004:33:54%20GMT	https://financialservices.gov.in/sites/default/files/favicon.ico	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/default/files/favicon.ico	(from https://financialservices.gov.in/)
18:42:29	18752/18752	---MC-	200	added ('OK')	application/rss+xml	date:Sat,%2012%20Nov%202022%2013:12:05%20GMT	https://financialservices.gov.in/rss.xml	C:/My%20Web%20Sites/s1/financialservices.gov.in/rss.xml	(from https://financialservices.gov.in/)
18:42:29	5428/5428	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202019%2005:52:36%20GMT	https://financialservices.gov.in/modules/system/system.base.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/modules/system/system.basebddf.css	(from https://financialservices.gov.in/)
18:42:30	20033/20033	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:42:50%20GMT	https://financialservices.gov.in/sites/all/modules/contributed/calendar/css/calendar_multiday.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/contributed/calendar/css/calendar_multidaybddf.css	(from https://financialservices.gov.in/)
18:42:30	3733/3733	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:44:22%20GMT	https://financialservices.gov.in/sites/all/modules/contributed/date/date_api/date.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/contributed/date/date_api/datebddf.css	(from https://financialservices.gov.in/)
18:42:30	3722/3722	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:59:09%20GMT	https://financialservices.gov.in/sites/all/modules/contributed/date/date_popup/themes/datepicker.1.7.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/contributed/date/date_popup/themes/datepicker.1.7bddf.css	(from https://financialservices.gov.in/)
18:42:30	550/550	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202019%2005:52:21%20GMT	https://financialservices.gov.in/modules/field/theme/field.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/modules/field/theme/fieldbddf.css	(from https://financialservices.gov.in/)
18:42:30	144/144	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202019%2005:52:25%20GMT	https://financialservices.gov.in/modules/node/node.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/modules/node/nodebddf.css	(from https://financialservices.gov.in/)
18:42:30	564/564	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Mar%202019%2005:52:28%20GMT	https://financialservices.gov.in/modules/search/search.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/modules/search/searchbddf.css	(from https://financialservices.gov.in/)
18:42:31	0/0	---M--	302	error ('Moved%20Temporarily')	text/html		https://financialservices.gov.in/modules/user/user.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/modules/user/userbddf.css	(from https://financialservices.gov.in/)
18:42:31	707/707	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:52:24%20GMT	https://financialservices.gov.in/sites/all/modules/contributed/views/css/views.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/contributed/views/css/viewsbddf.css	(from https://financialservices.gov.in/)
18:42:31	4483/4483	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:57:10%20GMT	https://financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/font.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/fontbddf.css	(from https://financialservices.gov.in/)
18:42:31	26680/26680	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jun%202022%2005:08:10%20GMT	https://financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/base.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/basebddf.css	(from https://financialservices.gov.in/)
18:42:32	8060/8060	---M--	200	added ('OK')	text/css	date:Wed,%2006%20Oct%202021%2007:06:28%20GMT	https://financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/flexslider.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/flexsliderbddf.css	(from https://financialservices.gov.in/)
18:42:32	10000/10000	---M--	200	added ('OK')	text/css	date:Thu,%2001%20Jul%202021%2007:49:57%20GMT	https://financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/base-responsive.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/base-responsivebddf.css	(from https://financialservices.gov.in/)
18:42:32	509/509	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:43:27%20GMT	https://financialservices.gov.in/sites/all/modules/contributed/ctools/css/ctools.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/contributed/ctools/css/ctoolsbddf.css	(from https://financialservices.gov.in/)
18:42:32	1496/1496	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:42:04%20GMT	https://financialservices.gov.in/sites/all/modules/cmf/google_search/css/result.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/cmf/google_search/css/resultbddf.css	(from https://financialservices.gov.in/)
18:42:32	26703/26703	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:57:09%20GMT	https://financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/font-awesome.min.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/cmf/cmf_content/assets/css/font-awesome.minbddf.css	(from https://financialservices.gov.in/)
18:42:33	843/843	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202020%2010:49:26%20GMT	https://financialservices.gov.in/sites/all/modules/contributed/panels/css/panels.css?rj87e6	C:/My%20Web%20Sites/s1/financialservices.gov.in/sites/all/modules/contributed/panels/css/panelsbddf.css	(from https://financialservices.gov.in/)
